ROUTE,STEP,STEP DESCRIPTION,AREA,TOOLGROUP,PROCESSING UNIT,PROCESSINGTIME DISTRIBUTION,MEAN,OFFSET,PT UNITS,CASCADING INTERVAL,C Units,BATCH MINIMUM,BATCH MAXIMUM,SETUP,WHEN,SETUP DISTRIBUTION,SETUP TIME,OFFSET.1,ST UNITS,STEP FOR LTL DEDICATION,REWORK PROBABILITY in %,R UNIT,STEP FOR REWORK,PROCESSING PROBABILITY in % (Sampling),STEP FOR CRITICAL QUEUE TIME,CQT,CQTUNITS
Route_Product_6,1,001_Diffusion,Diffusion,Diffusion_FE_120,Batch,uniform,501.33,25.07,min,,,125.0,150.0,,,,,,,,,,,,,,
Route_Product_6,2,002_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.852,0.04,min,0.639,min,,,,,,,,,,,,,,,,
Route_Product_6,3,003_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,17.994,0.9,min,,,,,,,,,,,,,,,56.0,,,
Route_Product_6,4,004_Diffusion,Diffusion,Diffusion_FE_125,Batch,uniform,440.4,22.02,min,,,75.0,100.0,,,,,,,,,,,,,,
Route_Product_6,5,005_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,1.14,0.06,min,0.855,min,,,,,,,,,,,,,,,,
Route_Product_6,6,006_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,29.88,1.49,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_6,7,007_TF_Met,TF_Met,TF_Met_FE_45,Lot,uniform,8.514,0.43,min,,,,,,,,,,,,,,,36.0,,,
Route_Product_6,8,008_Diffusion,Diffusion,Diffusion_FE_127,Batch,uniform,437.58,21.88,min,,,100.0,125.0,,,,,,,,,,,,,,
Route_Product_6,9,009_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,23.658,1.18,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_6,10,010_TF_Met,TF_Met,TF_Met_FE_45,Lot,uniform,9.804,0.49,min,,,,,,,,,,,,,,,39.0,,,
Route_Product_6,11,011_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.99,0.05,min,0.7425,min,,,,,,,,,,,,,,,,
Route_Product_6,12,012_Wet_Etch,Wet_Etch,WE_FE_83,Wafer,uniform,1.038,0.05,min,0.7785,min,,,,,,,,,,,,,,,,
Route_Product_6,13,013_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.9,0.05,min,0.675,min,,,,,,,,,,,,,,,,
Route_Product_6,14,072_Litho,Litho,Litho_FE_98,Wafer,uniform,1.464,0.07,min,,,,,,,,,,,,,,,,,,
Route_Product_6,15,073_Litho_Met,Litho_Met,LithoMet_FE_19,Lot,uniform,17.91,0.9,min,,,,,,,,,,,,,,,47.0,,,
Route_Product_6,16,074_Litho_Met,Litho_Met,Litho_REG_FE_64,Lot,uniform,20.634,1.03,min,,,,,,,,,,,,1.7,lot,14.0,100.0,,,
Route_Product_6,17,075_Implant,Implant,Implant_128,Wafer,uniform,0.816,0.04,min,0.612,min,,,SU128_1,need,,,,,,,,,,,,
Route_Product_6,18,076_Dry_Etch,Dry_Etch,DE_FE_86,Lot,uniform,77.358,3.87,min,,,,,,,,,,,,,,,,,,
Route_Product_6,19,077_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,1.08,0.05,min,0.81,min,,,,,,,,,,,,,,,,
Route_Product_6,20,078_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.708,0.04,min,0.531,min,,,,,,,,,,,,,,,,
Route_Product_6,21,079_Litho,Litho,Litho_FE_98,Wafer,uniform,3.3,0.17,min,,,,,,,,,,,,,,,,,,
Route_Product_6,22,080_Litho_Met,Litho_Met,LithoMet_FE_19,Lot,uniform,22.854,1.14,min,,,,,,,,,,,,,,,17.0,,,
Route_Product_6,23,081_Litho_Met,Litho_Met,Litho_REG_FE_64,Lot,uniform,16.452,0.82,min,,,,,,,,,,,,,,,19.0,,,
Route_Product_6,24,082_Implant,Implant,Implant_132,Wafer,uniform,1.062,0.05,min,0.7965,min,,,SU132_1,need,,,,,,,,,,,,
Route_Product_6,25,083_Dry_Etch,Dry_Etch,DE_FE_86,Lot,uniform,139.158,6.96,min,,,,,,,,,,,,,,,,,,
Route_Product_6,26,084_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.786,0.04,min,0.5895,min,,,,,,,,,,,,,,,,
Route_Product_6,27,085_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,1.128,0.06,min,0.846,min,,,,,,,,,,,,,,,,
Route_Product_6,28,092_Litho,Litho,Litho_FE_111,Wafer,uniform,1.692,0.08,min,,,,,,,,,,,,,,,,,,
Route_Product_6,29,093_Litho_Met,Litho_Met,LithoMet_FE_19,Lot,uniform,27.294,1.36,min,,,,,,,,,,,,,,,100.0,,,
Route_Product_6,30,094_Litho_Met,Litho_Met,Litho_REG_FE_64,Lot,uniform,26.22,1.31,min,,,,,,,,,,,,1.0,lot,28.0,100.0,,,
Route_Product_6,31,095_Implant,Implant,Implant_132,Wafer,uniform,1.332,0.07,min,0.999,min,,,SU132_1,need,,,,,,,,,,,,
Route_Product_6,32,096_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,1.176,0.06,min,0.882,min,,,,,,,,,,,,,,,,
Route_Product_6,33,097_Dry_Etch,Dry_Etch,DE_FE_86,Lot,uniform,82.242,4.11,min,,,,,,,,,,,,,,,,,,
Route_Product_6,34,098_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.708,0.04,min,0.531,min,,,,,,,,,,,,,,,,
Route_Product_6,35,100_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.87,0.04,min,0.6525,min,,,,,,,,,,,,,,,,
Route_Product_6,36,101_Delay,Delay_32,Delay_32,Lot,uniform,240.0,12.0,min,,,,,,,,,,,,,,,,,,
Route_Product_6,37,102_Implant,Implant,Implant_88,Wafer,uniform,0.864,0.04,min,0.648,min,,,,,,,,,,,,,,,,
Route_Product_6,38,103_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.906,0.05,min,0.6795,min,,,,,,,,,,,,,,,,
Route_Product_6,39,104_TF,TF,TF_FE_131,Lot,uniform,82.584,4.13,min,70.1964,min,,,,,,,,,,,,,,,,
Route_Product_6,40,105_Def_Met,Def_Met,DefMet_FE_34,Lot,uniform,8.142,0.41,min,,,,,,,,,,,,,,,58.0,,,
Route_Product_6,41,106_Delay,Delay_32,Delay_32,Lot,uniform,180.0,9.0,min,,,,,,,,,,,,,,,,,,
Route_Product_6,42,108_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.624,0.03,min,0.468,min,,,,,,,,,,,,,,43.0,10.0,hr
Route_Product_6,43,109_Diffusion,Diffusion,Diffusion_FE_120,Batch,uniform,399.516,19.98,min,,,75.0,100.0,,,,,,,,,,,,,,
Route_Product_6,44,110_Diffusion,Diffusion,Diffusion_FE_127,Batch,uniform,317.748,15.89,min,,,100.0,125.0,,,,,,,,,,,,,,
Route_Product_6,45,111_Planar,Planar,Planar_FE_77,Lot,uniform,43.116,2.16,min,30.1812,min,,,,,,,,,,,,,,,,
Route_Product_6,46,112_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,1.05,0.05,min,0.7875,min,,,,,,,,,,,,,,,,
Route_Product_6,47,113_Delay,Delay_32,Delay_32,Lot,uniform,120.0,6.0,min,,,,,,,,,,,,,,,,,,
Route_Product_6,48,114_Dielectric,Dielectric,Dielectric_FE_30,Lot,uniform,33.426,1.67,min,30.0834,min,,,,,,,,,,,,,,,,
Route_Product_6,49,115_Def_Met,Def_Met,DefMet_FE_34,Lot,uniform,13.698,0.68,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_6,50,116_Wet_Etch,Wet_Etch,WE_FE_8,Wafer,uniform,0.792,0.04,min,0.594,min,,,,,,,,,,,,,,,,
Route_Product_6,51,117_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.66,0.03,min,0.495,min,,,,,,,,,,,,,,,,
Route_Product_6,52,118_Implant,Implant,Implant_91,Wafer,uniform,1.242,0.06,min,0.9315,min,,,SU91_1,need,,,,,,,,,,,,
Route_Product_6,53,119_Wet_Etch,Wet_Etch,WE_FE_83,Wafer,uniform,1.08,0.05,min,0.81,min,,,,,,,,,,,,,,,,
Route_Product_6,54,120_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.978,0.05,min,0.7335,min,,,,,,,,,,,,,,,,
Route_Product_6,55,158_Litho,Litho,Litho_FE_111,Wafer,uniform,3.168,0.16,min,,,,,,,,,,,65.0,,,,,,,
Route_Product_6,56,159_Litho_Met,Litho_Met,LithoMet_FE_19,Lot,uniform,21.954,1.1,min,,,,,,,,,,,,,,,100.0,,,
Route_Product_6,57,160_Litho_Met,Litho_Met,Litho_REG_FE_64,Lot,uniform,25.278,1.26,min,,,,,,,,,,,,,,,100.0,,,
Route_Product_6,58,161_Litho,Litho,Litho_FE_35,Wafer,uniform,2.022,0.1,min,,,,,,,,,,,,,,,,,,
Route_Product_6,59,162_Implant,Implant,Implant_132,Wafer,uniform,0.924,0.05,min,0.693,min,,,SU132_2,need,,,,,,,,,,,,
Route_Product_6,60,163_Dry_Etch,Dry_Etch,DE_FE_86,Lot,uniform,165.792,8.29,min,,,,,,,,,,,,,,,,,,
Route_Product_6,61,164_Def_Met,Def_Met,DefMet_FE_43,Lot,uniform,15.252,0.76,min,,,,,,,,,,,,,,,52.0,,,
Route_Product_6,62,165_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,1.038,0.05,min,0.7785,min,,,,,,,,,,,,,,,,
Route_Product_6,63,166_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.654,0.03,min,0.4905,min,,,,,,,,,,,,,,,,
Route_Product_6,64,185_Litho,Litho,LithoTrack_FE_115,Wafer,uniform,2.928,0.15,min,,,,,SU185_6,need,constant,8.0,,min,,,,,,,,
Route_Product_6,65,186_Litho,Litho,Litho_FE_111,Wafer,uniform,3.114,0.16,min,,,,,,,,,,,,,,,,,,
Route_Product_6,66,187_Litho_Met,Litho_Met,LithoMet_FE_19,Lot,uniform,27.186,1.36,min,,,,,,,,,,,,,,,33.0,,,
Route_Product_6,67,188_Litho_Met,Litho_Met,Litho_REG_FE_64,Lot,uniform,29.478,1.47,min,,,,,,,,,,,,,,,44.0,,,
Route_Product_6,68,189_Dry_Etch,Dry_Etch,DE_FE_51,Lot,uniform,126.0,6.3,min,,,,,,,,,,,,,,,,,,
Route_Product_6,69,190_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.882,0.04,min,0.6615,min,,,,,,,,,,,,,,,,
Route_Product_6,70,191_Implant,Implant,Implant_128,Wafer,uniform,0.888,0.04,min,0.666,min,,,SU128_2,need,,,,,,,,,,,,
Route_Product_6,71,192_Dry_Etch,Dry_Etch,DE_FE_86,Lot,uniform,154.458,7.72,min,,,,,,,,,,,,,,,,,,
