ROUTE,STEP,STEP DESCRIPTION,AREA,TOOLGROUP,PROCESSING UNIT,PROCESSINGTIME DISTRIBUTION,MEAN,OFFSET,PT UNITS,CASCADING INTERVAL,C Units,BATCH MINIMUM,BATCH MAXIMUM,SETUP,WHEN,SETUP DISTRIBUTION,SETUP TIME,OFFSET.1,ST UNITS,STEP FOR LTL DEDICATION,REWORK PROBABILITY in %,R UNIT,STEP FOR REWORK,PROCESSING PROBABILITY in % (Sampling),STEP FOR CRITICAL QUEUE TIME,CQT,CQTUNITS
Route_Product_8,1,004_Diffusion,Diffusion,Diffusion_FE_125,Batch,uniform,440.4,22.02,min,,,75.0,100.0,,,,,,,,,,,,,,
Route_Product_8,2,005_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,1.14,0.06,min,0.855,min,,,,,,,,,,,,,,,,
Route_Product_8,3,006_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,29.88,1.49,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_8,4,007_TF_Met,TF_Met,TF_Met_FE_45,Lot,uniform,8.514,0.43,min,,,,,,,,,,,,,,,36.0,,,
Route_Product_8,5,008_Diffusion,Diffusion,Diffusion_FE_127,Batch,uniform,437.58,21.88,min,,,100.0,125.0,,,,,,,,,,,,,,
Route_Product_8,6,009_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,23.658,1.18,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_8,7,010_TF_Met,TF_Met,TF_Met_FE_45,Lot,uniform,9.804,0.49,min,,,,,,,,,,,,,,,39.0,,,
Route_Product_8,8,011_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.99,0.05,min,0.7425,min,,,,,,,,,,,,,,,,
Route_Product_8,9,012_Wet_Etch,Wet_Etch,WE_FE_83,Wafer,uniform,1.038,0.05,min,0.7785,min,,,,,,,,,,,,,,,,
Route_Product_8,10,013_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.9,0.05,min,0.675,min,,,,,,,,,,,,,,,,
Route_Product_8,11,014_Litho,Litho,LithoTrack_FE_115,Wafer,uniform,2.172,0.11,min,,,,,,,,,,,,,,,,,,
Route_Product_8,12,015_Litho,Litho,LithoTrack_FE_115,Wafer,uniform,2.676,0.13,min,,,,,SU015_8,need,constant,8.0,,min,,,,,,,,
Route_Product_8,13,016_Litho,Litho,Litho_FE_92,Wafer,uniform,2.64,0.13,min,,,,,,,,,,,45.0,,,,,,,
Route_Product_8,14,017_Litho_Met,Litho_Met,LithoMet_FE_19,Lot,uniform,28.104,1.41,min,,,,,,,,,,,,,,,100.0,,,
Route_Product_8,15,018_Litho_Met,Litho_Met,Litho_REG_FE_64,Lot,uniform,25.272,1.26,min,,,,,,,,,,,,,,,100.0,,,
Route_Product_8,16,019_Def_Met,Def_Met,DefMet_FE_10,Lot,uniform,6.876,0.34,min,,,,,,,,,,,,,,,57.0,,,
Route_Product_8,17,020_Implant,Implant,Implant_128,Wafer,uniform,1.14,0.06,min,0.855,min,,,SU128_3,need,,,,,,,,,,,,
Route_Product_8,18,021_Dry_Etch,Dry_Etch,DE_FE_1,Lot,uniform,135.234,6.76,min,,,,,,,,,,,,,,,,,,
Route_Product_8,19,022_Dry_Etch,Dry_Etch,DE_FE_86,Lot,uniform,162.798,8.14,min,,,,,,,,,,,,,,,,,,
