ROUTE,STEP,STEP DESCRIPTION,AREA,TOOLGROUP,PROCESSING UNIT,PROCESSINGTIME DISTRIBUTION,MEAN,OFFSET,PT UNITS,CASCADING INTERVAL,C Units,BATCH MINIMUM,BATCH MAXIMUM,SETUP,WHEN,SETUP DISTRIBUTION,SETUP TIME,OFFSET.1,ST UNITS,STEP FOR LTL DEDICATION,REWORK PROBABILITY in %,R UNIT,STEP FOR REWORK,PROCESSING PROBABILITY in % (Sampling),STEP FOR CRITICAL QUEUE TIME,CQT,CQTUNITS
Route_Product_4,1,001_Diffusion,Diffusion,Diffusion_FE_120,Batch,uniform,501.33,25.07,min,,,125.0,150.0,,,,,,,,,,,,,,
Route_Product_4,2,002_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.852,0.04,min,0.639,min,,,,,,,,,,,,,,,,
Route_Product_4,3,003_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,17.994,0.9,min,,,,,,,,,,,,,,,56.0,,,
Route_Product_4,4,004_Diffusion,Diffusion,Diffusion_FE_125,Batch,uniform,440.4,22.02,min,,,75.0,100.0,,,,,,,,,,,,,,
Route_Product_4,5,005_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,1.14,0.06,min,0.855,min,,,,,,,,,,,,,,,,
Route_Product_4,6,006_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,29.88,1.49,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_4,7,007_TF_Met,TF_Met,TF_Met_FE_45,Lot,uniform,8.514,0.43,min,,,,,,,,,,,,,,,36.0,,,
Route_Product_4,8,008_Diffusion,Diffusion,Diffusion_FE_127,Batch,uniform,437.58,21.88,min,,,100.0,125.0,,,,,,,,,,,,,,
Route_Product_4,9,009_Def_Met,Def_Met,DefMEt_FE_118,Lot,uniform,23.658,1.18,min,,,,,,,,,,,,,,,59.0,,,
Route_Product_4,10,010_TF_Met,TF_Met,TF_Met_FE_45,Lot,uniform,9.804,0.49,min,,,,,,,,,,,,,,,39.0,,,
Route_Product_4,11,011_Wet_Etch,Wet_Etch,WE_FE_108,Wafer,uniform,0.99,0.05,min,0.7425,min,,,,,,,,,,,,,,,,
Route_Product_4,12,012_Wet_Etch,Wet_Etch,WE_FE_83,Wafer,uniform,1.038,0.05,min,0.7785,min,,,,,,,,,,,,,,,,
Route_Product_4,13,013_Wet_Etch,Wet_Etch,WE_FE_84,Wafer,uniform,0.9,0.05,min,0.675,min,,,,,,,,,,,,,,,,
Route_Product_4,14,014_Litho,Litho,LithoTrack_FE_115,Wafer,uniform,2.172,0.11,min,,,,,,,,,,,,,,,,,,
